participant,age_group,frame,timestamp,true_location,humna_class,human_score_blinks_removed
EX01,adult,186.8651163,6.166548837,-0.5,Centre,0
EX01,adult,187.8697674,6.199702326,-0.477272727,Centre,0
EX01,adult,188.8744186,6.232855814,-0.454545455,Centre,0
EX01,adult,189.8790698,6.266009302,-0.431818182,Centre,0
EX01,adult,190.8837209,6.299162791,-0.409090909,Centre,0
EX01,adult,191.8883721,6.332316279,-0.386363636,Centre,0
EX01,adult,192.8930233,6.365469767,-0.363636364,Centre,0
EX01,adult,193.8976744,6.398623256,-0.340909091,Centre,0
EX01,adult,194.9023256,6.431776744,-0.318181818,Centre,0
EX01,adult,195.9069767,6.464930233,-0.295454545,Centre,0
EX01,adult,196.9116279,6.498083721,-0.272727273,Centre,0
EX01,adult,197.9162791,6.531237209,-0.25,Centre,0
EX01,adult,198.9209302,6.564390698,-0.227272727,Centre,0
EX01,adult,199.9255814,6.597544186,-0.204545455,Centre,0
EX01,adult,200.9302326,6.630697674,-0.181818182,Centre,0
EX01,adult,201.9348837,6.663851163,-0.159090909,Centre,0
EX01,adult,202.9395349,6.697004651,-0.136363636,Centre,0
EX01,adult,203.944186,6.73015814,-0.113636364,Centre,0
EX01,adult,204.9488372,6.763311628,-0.090909091,Centre,0
EX01,adult,205.9534884,6.796465116,-0.068181818,Centre,0
EX01,adult,206.9581395,6.829618605,-0.045454545,Centre,0
EX01,adult,207.9627907,6.862772093,-0.022727273,Centre,0
EX01,adult,208.9674419,6.895925581,-0.022727273,Centre,0
EX01,adult,209.972093,6.92907907,-0.022727273,Centre,0
EX01,adult,210.9767442,6.962232558,-0.022727273,Centre,0
EX01,adult,211.9813953,6.995386047,-0.022727273,Centre,0
EX01,adult,212.9860465,7.028539535,-0.022727273,Centre,0
EX01,adult,213.9906977,7.061693023,-0.022727273,Centre,0
EX01,adult,214.9953488,7.094846512,-0.022727273,Centre,0
EX01,adult,216,7.128,-0.022727273,Centre,0
EX01,adult,217.0046512,7.161153488,-0.022727273,Centre,0
EX01,adult,218.0093023,7.194306977,-0.022727273,Centre,0
EX01,adult,219.0139535,7.227460465,0,Centre,0
EX01,adult,220.0186047,7.260613953,0,Centre,0
EX01,adult,221.0232558,7.293767442,0,Centre,0
EX01,adult,222.027907,7.32692093,0,Centre,0
EX01,adult,223.0325581,7.360074419,0,Centre,0
EX01,adult,224.0372093,7.393227907,0,Centre,0
EX01,adult,225.0418605,7.426381395,0,Centre,0
EX01,adult,226.0465116,7.459534884,0,Centre,0
EX01,adult,227.0511628,7.492688372,0,Centre,0
EX01,adult,228.055814,7.52584186,0,Centre,0
EX01,adult,229.0604651,7.558995349,0,Centre,0
EX01,adult,230.0651163,7.592148837,0,Centre,0
EX01,adult,231.0697674,7.625302326,0,Centre,0
EX01,adult,232.0744186,7.658455814,0,Centre,0
EX01,adult,233.0790698,7.691609302,0,Centre,0
EX01,adult,234.0837209,7.724762791,0,Centre,0
EX01,adult,235.0883721,7.757916279,0,Centre,0
EX01,adult,236.0930233,7.791069767,0,Centre,0
EX01,adult,237.0976744,7.824223256,0,Centre,0
EX01,adult,238.1023256,7.857376744,0,Centre,0
EX01,adult,239.1069767,7.890530233,0,Centre,0
EX01,adult,240.1116279,7.923683721,0,Centre,0
EX01,adult,241.1162791,7.956837209,0,Centre,0
EX01,adult,242.1209302,7.989990698,0,Centre,0
EX01,adult,243.1255814,8.023144186,0,Centre,0
EX01,adult,244.1302326,8.056297674,0,Centre,0
EX01,adult,245.1348837,8.089451163,0,Centre,0
EX01,adult,246.1395349,8.122604651,0,Centre,0
EX01,adult,247.144186,8.15575814,0,Centre,0
EX01,adult,248.1488372,8.188911628,0,Centre,0
EX01,adult,249.1534884,8.222065116,0.022727273,Centre,0
EX01,adult,250.1581395,8.255218605,0.045454545,Centre,0
EX01,adult,251.1627907,8.288372093,0.068181818,Right,1
EX01,adult,252.1674419,8.321525581,0.090909091,Right,1
EX01,adult,253.172093,8.35467907,0.113636364,Right,1
EX01,adult,254.1767442,8.387832558,0.136363636,Right,1
EX01,adult,255.1813953,8.420986047,0.159090909,Right,1
EX01,adult,256.1860465,8.454139535,0.159090909,Right,1
